author_id,author_name,affiliation_full_name,city,affiliation,affiliation_id
57193483412,"Menyiy, Naoual"," Laboratory of Physiology, Pharmacology and Environmental Health, University Sidi Mohamed Ben Abdellah, Fez, Morocco",Fès,university sidi mohamed ben abdellah,148
57219301252,"Omari, Nasreddine"," Laboratory of Histology, Embryology, and Cytogenetic, Mohammed v University in Rabat, Rabat, Morocco",Rabat,mohammed 5 university,120
55622564400,"Benali, Taoufiq"," Environment and Health Team, Polydisciplinary Faculty of Safi, Cadi Ayyad University, Marrakech, Morocco",Marrakech,cadi ayyad university,18
57195761501,"Guaouguaou, Fatima"," Mohammed v University in Rabat, Lpcmio, Materials Science Center (MSC), Ecole Normale Supérieure, Rabat, Morocco",Rabat,ecole normale superieure,132
57192007504,"Salhi, Najoua"," Laboratory of Pharmacology and Toxicology, Faculty of Medicine and Pharmacy, Mohammed v University in Rabat, BP 6203, Rabat, Morocco",Rabat,faculty of medicine and pharmacy,126
57194973478,"Mrabti, Hanae"," Laboratory of Human Pathologies Biology, Department of Biology, Mohammed v University in Rabat, Rabat, Morocco",Rabat,mohammed 5 university,120
57218566516,"Taib, Mehdi","Laboratory of Applied Chemistry and Environment, Hassan 1st University, Faculty of Science and Technology, P.O. Box 577, Settat, Morocco",Settat,faculty of science and technology,47
54790791200,"Amal, Rifai","Regional Center for the Professions of Education and Training (RCPET), Rabat, Morocco",Rabat,,
57221266081,"Amine, Tzemmout"," Laboratory of Information Modelling and Communication Systems, Faculty of Sciences, University Ibn Tofail, Morocco",,,
57222221474,"Mokhlis, H","Laboratory of Interface Materials and Environment (LIME), Faculty of Sciences Aîn Chock, Hassan II University of Casablanca, Maarif, Casablanca, 5366, Morocco",Casablanca,hassan 2 university,53
57204182670,"Ibnelazyz, Lahcen","Sultan Moulay Slimane University, BP 523, Beni Mellal, 23000, Morocco",Béni Mellal,sultan moulay slimane university,162
12545385200,"Hassoune, H","Department of Chemical and Biochemical Sciences, Mohammed VI Polytechnic University, Benguerir, Morocco",,,
56725817900,"Lachehab, A"," Laboratory of Catalysis, Materials and Environment, Sidi Mohamed Ben Abdellah University, Fez, Morocco",Fès,sidi mohamed ben abdellah university,148
55935651700,"Achkoun, K","Faculty of Sciences, Mohammed V University in Rabat, Rabat, Morocco",Rabat,faculty of sciences,125
54388165000,"Monlau, Florian"," Mohammed VI Polytechnic University (UM6P), Ben Guerir, Morocco",,,
12784105900,"Barakat, Abdellatif"," Situation Innovation, OCP Group, Complexe Industriel Jorf Lasfar, El Jadida, Morocco",El Jadida,,
57041288900,"Fassi, Iz","Department of Mathematics, Faculty of Sciences and Techniques, Sidi Mohamed ben abdellah University, B.P. 2202, Fez, Morocco",Fès,faculty of sciences,153
57225084911,"Boujnouni, Hamoucha","Research Center of Plant and Microbial Biotechnologies, Biodiversity, and Environment, Faculty of Sciences, Mohammed V University in Rabat, PO Box 1014, Morocco",Rabat,faculty of sciences,125
6507601443,"Rahouti, Mohamed"," Laboratory of Information Technologies, National School of Applied Sciences, Chouaib Doukkali University in El Jadida, PO Box 1166, Morocco",El Jadida,national school of applied sciences,39
57209334837,"Touairi, Souad","Industrial Engineering Laboratory, Faculty of Sciences and Techniques, Sultan Moulay Slimane University, BP 523, Beni Mellal, 23000, Morocco",Béni Mellal,faculty of sciences and techniques,167
56968124900,"Mohcine, Salami","Service de Neurochirurgie, Hôpital Militaire Mohammed-V, Université Mohammed-V, Rabat, Morocco",Rabat,,
57003706600,"Hanchi, N","Laboratory of Mechanics, Faculty of Sciences Aïn Chock, Hassan II University of Casablanca, Casablanca, 20000, Morocco",Casablanca,hassan 2 university,53
57225149067,"Jeddi, Mohamed","Laboratoire de Biotechnologie Microbienne et Molécules Bioactives, Faculté des Sciences et Techniques, Université Sidi Mohamed Ben Abdellah, Boite postale, Route Imouzzer Fès, 2202, Morocco",Fès,faculte des sciences,153
55791805100,"Ouaritini, Zineb"," Laboratoire des substances naturelles, pharmacologie, environnement, modélisation, santé et qualité de vie, Faculté des Sciences Fès, Université Sidi Mohamed Ben Abdellah, 30 000, Morocco",Fès,faculte des sciences,153
59114482800,"Ahmad, Ijaz"," Laboratory of Chemistry-Biochemistry, Environment, Nutrition, and Health, Faculty of Medicine and Pharmacy, Hassan Ii University, B.P. 5696, Casablanca, Morocco",Casablanca,faculty of medicine and pharmacy,63
57201258239,"Ouammou, Abdellah","A PhD student at Hassan First University, Faculty of Sciences and Techniques, With Computer Networks, Mobility and Modeling laboratory, IR2M, Settat, Morocco",Settat,faculty of sciences and techniques,47
56464301600,"Zaaloul, Abdellah"," A professor at the department of Mathematics Ibn Zohr University, Is with Complex Systems and Interactions Research Team, F.S.J.E.S, Ait melloul, Morocco",Ait Melloul,,
55204392000,"Hanini, Mohamed"," A professor at the department of Mathematics and Computer science, Hassan First University, Faculty of Sciences and Techniques, Is with Computer Networks, Mobility and Modeling laboratory, IR2M, Settat, Morocco",Settat,faculty of sciences and techniques,47
