id,Affiliation,Abbreviation,University,City
154,Faculté Polydisciplinaire ,FP ,Université Sidi Mohamed Ben Abdellah,Taza
155,Faculté des Sciences et Techniques Sais ,FST Sais ,Université Sidi Mohamed Ben Abdellah,Fès
156,"Faculté de Médecine, de Pharmacie et de Médecine Dentaire ",FMPMD ,Université Sidi Mohamed Ben Abdellah,Fès
157,Ecole Nationale des Sciences Appliquées ,ENSA Fès,Université Sidi Mohamed Ben Abdellah,Fès
158,Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Sidi Mohamed Ben Abdellah,Fès
159,Ecole Normale Supérieure ,ENS ,Université Sidi Mohamed Ben Abdellah,Fès
160,Ecole Supérieure de Technologie ,EST ,Université Sidi Mohamed Ben Abdellah,Fès
161,Institut des Sciences de Sport ,ISS ,Université Sidi Mohamed Ben Abdellah,Fès
162,Université Sultan Moulay Slimane,USMI, Université Sultan Moulay Slimane,Béni Mellal
163,Faculté d'Economie et de Gestion  ,FEG ,Université Sultan Moulay Slimane,Béni Mellal
164,Faculté des Lettres et des Sciences Humaines ,FLSH ,Université Sultan Moulay Slimane,Béni Mellal
165,Faculté Polydisciplinaire ,FP,Université Sultan Moulay Slimane,Béni Mellal
166,Faculté Polydisciplinaire ,FP ,Université Sultan Moulay Slimane,Khouribga
167,Faculté des Sciences et Techniques ,FST ,Université Sultan Moulay Slimane,Béni Mellal
168,Faculté de Médecine et de Pharmacie ,FMP ,Université Sultan Moulay Slimane,Béni Mellal
169,Ecole Nationale des Sciences Appliquées ,ENSA ,Université Sultan Moulay Slimane,Béni Mellal
170,Ecole Nationale des Sciences Appliquées ,ENSA ,Université Sultan Moulay Slimane,Khouribga
171,Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Sultan Moulay Slimane,Béni Mellal
172,Ecole Supérieure de l'Education et de la Formation ,ESEF ,Université Sultan Moulay Slimane,Béni Mellal
173,Ecole Supérieure de Technologie ,EST ,Université Sultan Moulay Slimane,Béni Mellal
174,Ecole Supérieure de Technologie ,EST ,Université Sultan Moulay Slimane,Khénifra
175,Ecole Supérieure de Technologie ,EST ,Université Sultan Moulay Slimane,Fquih Ben Salah
