author_id,author_name,affiliation_full_name,country
7102041716,"Miranda, R"," LPS, Faculté des Sciences Dhar Mehraz, Fès, BP 1796, Morocco",morocco
36856848800,"Kraemer, Bernhard"," Laboratoire Physique de la Matière Condensée, El Jadida, Morocco",morocco
25924178100,"Bijaber, Noureddine","Centre Royal de Télédétection Spatiale (CRTS), Hay Riad, Rabat, Angle Av. Allai el Fassi et Av. Assanawbar, Morocco",morocco
7003394386,"Evangelakis, G"," University Ben m'Sik, Physics Department, L.P.M.C, Casablanca, B.P 7955, Morocco",morocco
7004121176,"Fliyou, M"," Ecole Normale Supérieure, E.N.S., Marrakech, B. P 541, Morocco",morocco
15847742100,"Chami, Mouhcine"," INPT, Rabat, Morocco",morocco
36650653000,"Elwarraki, Elmostafa","FSTG, Cadi Ayyad University, LSET Research Laboratory, Marrakech, B.P: 549, Morocco",morocco
24822381600,"Sabir, Abderrafia"," ESTC, Hassan II University, Technical Research Laboratory, Ain chock, Casablanca, BP: 8012, Morocco",morocco
16231789100,"Taoufiki, Manal","LRIT-GSCM, Faculty of Sciences, Rabat, av. Ibn Battouta, Morocco",morocco
57222401572,"Adib, Abdellah"," Institut Scientifique, Rabat, av. Ibn Battouta, Morocco",morocco
23033668300,"Daoudi, Mohamed"," GSCMIRIT Faculty of Sciences, University Mohammed, Rabat, Morocco",morocco
6603385545,"Chadli, Ouayl","Department of Economics, Ibn Zohr University, Agadir 80000, B.P. 8658, Morocco",morocco
25228399200,"Chbani, Zaki"," Department of Mathematics, Cadi Ayyad University, Marrakesh 40000, Morocco",morocco
23978044400,"Elghazi, Haddou","Solid State Physics Laboratory, Faculty of Sciences, Fez, Dhar El Mahraz, Morocco",morocco
7006857659,"Jorio, Anouar"," Regional Center of Interface, Sidi Mohammed Ben Abdellah University, Fez, Morocco",morocco
12239828500,"Ouarsal, Rachid"," Laboratoire DIngénierie des Matériaux Organomé talliques et Moléculaires, Département de Chimie, Faculté des Sciences, Fs-Atlas, 30000 Fs, BP 1796, Morocco",morocco
8415913200,"Bali, Brahim"," Department of Chemistry, Faculty of Sciences, University Mohammed 1st, 60000 Oujda, PO Box 717, Morocco",morocco
19638592600,"Amrani, Mahacine","Département de Génie Chimique, Faculté des Sciences and Techniques, Tanger, Morocco",morocco
