id,Name,affiliation_id
7005521130,"Hachimi, M",91
6602560298,"Aghezzaf, B",53
6603172443,"Ghassoun, J",23
6603513731,"Erramli, H",23
22936236500,"Wahbi, Z",125
56025457900,"Guenbour, A",125
54388872600,"Messoussi, S",23
22234455800,"Hafid, H",23
6506465558,"Lahrouni, A",23
54882854600,"Afif, M",23
6507933637,"Redwane, Hicham",43
24764880300,"Errakhi, Rafik",23
6602101668,"Jehouani, A",23
20435786400,"Hachimi, M",77
20435434100,"Founti, L",134
14423937500,"Benali, B",77
8267860500,"Echbab, H",120
7801470569,"Carozza, Jean",153
6602312473,"Dugué, Olivier",23
8845130300,"Khlifi, M",62
6507471695,"Meziani, R",77
57224293874,"Elabbadi, N",23
6602662942,"Saddiqi, O",53
6506395698,"Hilaly, Jaouad",153
7005366804,"Feuerstein, Marie",140
6503895825,"Doua, Hayat",125
6603480787,"Essafti, A",23
6603718063,"Esseffar, M",23
6603477433,"Rguibi, Mohamed",34
6603272174,"Belahsen, Rekia",34
54582119600,"Chakri, Malika",153
8406310500,"Azzouzi, Saida",23
6602900369,"Jalal, Rachid",23
6507095567,"m, Rachida",91
18133717800,"Khammari, Kamal",111
6508097911,"Jaffal, Mohammed",23
8682832400,"Bahraoui, T",125
7004428173,"Berrada, A",125
16481471900,"Zari, N",62
16481333400,"Mohammedi, H",62
6603376495,"Kabine, Mostafa",37
18536742200,"Manar, Rachid",37
16416956500,"Bourichi, H",126
6507508117,"Brik, Y",125
8900080600,"Bouklouze, A",126
6506881892,"Qninba, Abdeljebbar",134
8247956300,"Hilali, Miloudi",125
16551053400,"Zaim, A",140
6701564709,"Kerouad, M",142
16743905900,"Faris, Fatima",125
35080250300,"Ezzaouia, S",153
6505920475,"Chami, N",125
6507053960,"Satrani, Badr",77
35610711100,"Chaouch, Abdelaziz",148
8243532500,"Idrissi, A",23
7202654306,"Gauthier, J",12
18233641700,"Asri, F",18
