id,Affiliation,Abbreviation,University,City,Affiliation En Name
105,Ecole Supérieure de Technologie ,EST ,Université Ibn Zohr,Guelmim,Higher School of Technology
106,Ecole Supérieure de Technologie ,EST ,Université Ibn Zohr,Laayoune,Higher School of Technology
107,Ecole Supérieure de Technologie ,EST ,Université Ibn Zohr,Dakhla,Higher School of Technology
108,Université Mohammed Premier,UM1,Université Mohammed Premier,Oujda,Mohammed First University
109,"Faculté des Sciences Juridiques, Economiques et Sociales ",FSJES ,Université Mohammed Premier,Oujda,"Faculty of Legal, Economic and Social Sciences"
110,Faculté des Lettres et des Sciences Humaines ,FLSH ,Université Mohammed Premier,Oujda,Faculty of Letters and Humanities
111,Faculté des Sciences ,FS ,Université Mohammed Premier,Oujda,Faculty of Sciences
112,Faculté Polydisciplinaire ,FP ,Université Mohammed Premier,Nador,Multidisciplinary Faculty
113,Faculté de Médecine et de Pharmacie ,FMP ,Université Mohammed Premier,Oujda,Faculty of Medicine and Pharmacy
114,Ecole Nationale des Sciences Appliquées ,ENSA ,Université Mohammed Premier,Oujda,National School of Applied Sciences
115,Ecole Nationale Supérieure de l'Intelligence Artificielle et du Digital ,ENSIAD ,Université Mohammed Premier,Berkane,National Higher School of Artificial Intelligence and Digital Sciences
116,Ecole Nationale de Commerce et de Gestion ,ENCG ,Université Mohammed Premier,Oujda,National School of Commerce and Management
117,Ecole Supérieure de l'Education et de la Formation ,ESEF ,Université Mohammed Premier,Oujda,Higher School of Education and Training
118,Ecole Supérieure de Technologie ,EST ,Université Mohammed Premier,Oujda,Higher School of Technology
119,Ecole Supérieure de Technologie ,EST ,Université Mohammed Premier,Nador,Higher School of Technology
120,Université Mohammed V,UMV, Université Mohammed V, Rabat,Mohammed V University
121,"Faculté des Sciences Juridiques, Economiques et Sociales Agdal",FSJES Agdal,Université Mohammed V,Rabat,"Faculté des Sciences Juridiques, Economiques et Sociales Agdal"
122,"Faculté des Sciences Juridiques, Economiques et Sociales Souissit",FSJES Souissi,Université Mohammed V,Rabat,"Faculty of Legal, Economic and Social Sciences of Souissit"
123,"Faculté des Sciences Juridiques, Economiques et Sociales",FSJES Salé,Université Mohammed V,Salé,"Faculty of Legal, Economic and Social Sciences"
124,Faculté des Lettres et des Sciences Humaines,FLSH,Université Mohammed V,Rabat,Faculty of Letters and Humanities
125,Faculté des Sciences ,FS ,Université Mohammed V,Rabat,Faculty of Sciences
126,Faculté de Médecine et de Pharmacie,FMP,Université Mohammed V,Rabat,Faculty of Medicine and Pharmacy
127,Faculté de Médecine Dentaire ,FMD ,Université Mohammed V,Rabat,Faculty of Dental Medicine
128,Ecole Mohammadia d'Ingénieurs ,EMI ,Université Mohammed V,Rabat,Mohammadia Engineering School
129,Ecole Nationale Supérieure d'Informatique et d'Analyse des Systèmes ,ENSIAS ,Université Mohammed V,Rabat,National Higher School of Computer Science and Systems Analysis
130,Ecole Nationale Supérieure des Arts et Métiers ,ENSAM ,Université Mohammed V,Rabat,National Higher School of Arts and Crafts
